# Função: -tan(x)
"# Chute inicial: (5*pi/2 + 1e-2 + 7*pi/2 - 1e-2)/2, Precisão: 1e-10, Iterações Máximas: 200"

k,xk,f(xk),Erro Rel
1,9.42477796076938,-3.6739403974420594e-16,2.565305078800755e+16
2,3.6739403974420594e-16,3.6739403974420594e-16,-2.0
