# Função: -2*tan(2*x)
"# Chute inicial: (3*pi/2 + 1e-2 + 5*pi/2 - 1e-2)/2, Precisão: 1e-10, Iterações Máximas: 200"

k,xk,f(xk),Erro Rel
1,6.283185307179586,-3.91886975727153e-15,6413262697001886.0
2,9.797174393178826e-16,1.567547902908612e-14,-1.25
