# Função: -2*tan(2*x)
"# Chute inicial: (pi/2 + 1e-2 + 3*pi/2 - 1e-2)/2, Precisão: 1e-10, Iterações Máximas: 200"

k,xk,f(xk),Erro Rel
1,3.141592653589793,-1.959434878635765e-15,6413262697001886.0
2,4.898587196589413e-16,7.83773951454306e-15,-1.25
