# Função: -tan(x)
"# Chute inicial: (3*pi/2 + 1e-2 + 5*pi/2 - 1e-2)/2, Precisão: 1e-10, Iterações Máximas: 200"

k,xk,f(xk),Erro Rel
1,6.283185307179586,-2.4492935982947064e-16,2.5653050788007548e+16
2,2.4492935982947064e-16,2.4492935982947064e-16,-2.0
