# Função: -tan(x)
"# Chute inicial: (7*pi/2 + 1e-2 + 9*pi/2 - 1e-2)/2, Precisão: 1e-10, Iterações Máximas: 200"

k,xk,f(xk),Erro Rel
1,12.566370614359172,-4.898587196589413e-16,2.5653050788007548e+16
2,4.898587196589413e-16,4.898587196589413e-16,-2.0
