# Função: -tan(x)
"# Chute inicial: (pi/2 + 1e-2 + 3*pi/2 - 1e-2)/2, Precisão: 1e-10, Iterações Máximas: 200"

k,xk,f(xk),Erro Rel
1,3.141592653589793,-1.2246467991473532e-16,2.5653050788007548e+16
2,1.2246467991473532e-16,1.2246467991473532e-16,-2.0
