# Função: x/2 - tan(2*x)
"# Intervalo: [5*pi/4 + 1e-10, 7*pi/4 - 1e-10], Precisão: 1e-10, Iterações Máximas: 100"

k,a,b,f(a),f(b),xk,f(xk),Erro Rel
1,3.9269908170872414,5.497787143682138,5000000001.963495,-4999999997.251106,4.71238898038469,2.356194490192345,1.0
2,4.71238898038469,5.497787143682138,2.356194490192345,-4999999997.251106,5.105088062033414,1.552544031216707,0.07692307691403617
3,5.105088062033414,5.497787143682138,1.552544031216707,-4999999997.251106,5.301437602857776,0.23650524008005708,0.037037037032845305
4,5.301437602857776,5.497787143682138,0.23650524008005708,-4999999997.251106,5.3996123732699575,-2.3275333008928945,0.018181818179797835
5,5.301437602857776,5.3996123732699575,0.23650524008005708,-2.3275333008928945,5.350524988063866,-0.6212957129779515,0.00917431192557671
6,5.301437602857776,5.350524988063866,0.23650524008005708,-0.6212957129779515,5.325981295460822,-0.13182212338335075,0.004608294930356427
7,5.301437602857776,5.325981295460822,0.23650524008005708,-0.13182212338335075,5.313709449159298,0.06445220802378614,0.0023094688219101257
8,5.313709449159298,5.325981295460822,0.06445220802378614,-0.13182212338335075,5.31984537231006,-0.03034354985033961,0.0011534025373554956
9,5.313709449159298,5.31984537231006,0.06445220802378614,-0.03034354985033961,5.316777410734679,0.01784714086246142,0.000577034044943537
10,5.316777410734679,5.31984537231006,0.01784714086246142,-0.03034354985033961,5.31831139152237,-0.0060449111736156965,0.00028843380440934013
11,5.316777410734679,5.31831139152237,0.01784714086246142,-0.0060449111736156965,5.317544401128525,0.005951288345354201,0.0001442377037194816
12,5.317544401128525,5.31831139152237,0.005951288345354201,-0.0060449111736156965,5.317927896325447,-3.418767584766213e-05,7.211365110601962e-05
13,5.317544401128525,5.317927896325447,0.005951288345354201,-3.418767584766213e-05,5.317736148726986,0.0029616961704769435,3.605812569455775e-05
14,5.317736148726986,5.317927896325447,0.0029616961704769435,-3.418767584766213e-05,5.317832022526217,0.001464541965240249,1.802873780603191e-05
15,5.317832022526217,5.317927896325447,0.001464541965240249,-3.418767584766213e-05,5.317879959425832,0.0007153742318454313,9.014287644901727e-06
16,5.317879959425832,5.317927896325447,0.0007153742318454313,-3.418767584766213e-05,5.31790392787564,0.0003406425695130101,4.5071235081969866e-06
17,5.31790392787564,5.317927896325447,0.0003406425695130101,-3.418767584766213e-05,5.317915912100544,0.00015323977217821002,2.2535566755693586e-06
18,5.317915912100544,5.317927896325447,0.00015323977217821002,-3.418767584766213e-05,5.317921904212995,5.952912981010542e-05,1.1267770681566873e-06
19,5.317921904212995,5.317927896325447,5.952912981010542e-05,-3.418767584766213e-05,5.3179249002692215,1.2671497430989941e-05,5.633882166718822e-07
20,5.3179249002692215,5.317927896325447,1.2671497430989941e-05,-3.418767584766213e-05,5.317926398297335,-1.0757896591073687e-05,2.8169402898439276e-07
21,5.3179249002692215,5.317926398297335,1.2671497430989941e-05,-1.0757896591073687e-05,5.317925649283278,9.568485736711751e-07,1.4084703433008067e-07
22,5.317925649283278,5.317926398297335,9.568485736711751e-07,-1.0757896591073687e-05,5.317926023790306,-4.900511970197675e-06,7.042351220556891e-08
23,5.317925649283278,5.317926023790306,9.568485736711751e-07,-4.900511970197675e-06,5.317925836536792,-1.97182868864677e-06,3.5211757342652266e-08
24,5.317925649283278,5.317925836536792,9.568485736711751e-07,-1.97182868864677e-06,5.317925742910035,-5.074893050848541e-07,1.7605878981293102e-08
25,5.317925649283278,5.317925742910035,9.568485736711751e-07,-5.074893050848541e-07,5.3179256960966566,2.246798223937492e-07,8.802939568138297e-09
26,5.3179256960966566,5.317925742910035,2.246798223937492e-07,-5.074893050848541e-07,5.317925719503346,-1.414046943203869e-07,4.401469764696212e-09
27,5.3179256960966566,5.317925719503346,2.246798223937492e-07,-1.414046943203869e-07,5.317925707800001,4.163757579297026e-08,2.20073488719134e-09
28,5.317925707800001,5.317925719503346,4.163757579297026e-08,-1.414046943203869e-07,5.3179257136516735,-4.9883556324635756e-08,1.1003674423848616e-09
29,5.317925707800001,5.3179257136516735,4.163757579297026e-08,-4.9883556324635756e-08,5.317925710725837,-4.122989531064644e-09,5.501837214951329e-10
30,5.317925707800001,5.317925710725837,4.163757579297026e-08,-4.122989531064644e-09,5.317925709262919,1.875729331464483e-08,2.7509186082324193e-10
31,5.317925709262919,5.317925710725837,1.875729331464483e-08,-4.122989531064644e-09,5.317925709994378,7.317151937713099e-09,1.375459303927021e-10
32,5.317925709994378,5.317925710725837,7.317151937713099e-09,-4.122989531064644e-09,5.317925710360107,1.5970812148049791e-09,6.877296519162132e-11
