# Função: x/2 - tan(2*x)
"# Intervalo: [3*pi/4 + 1e-10, 5*pi/4 - 1e-10], Precisão: 1e-10, Iterações Máximas: 100"

k,a,b,f(a),f(b),xk,f(xk),Erro Rel
1,2.356194490292345,3.9269908168872414,5000000001.178097,-4999999998.036505,3.141592653589793,1.5707963267948966,1.0
2,3.141592653589793,3.9269908168872414,1.5707963267948966,-4999999998.036505,3.5342917352385173,0.7671458678192586,0.1111111110985359
3,3.5342917352385173,3.9269908168872414,0.7671458678192586,-4999999998.036505,3.7306412760628795,-0.5488929233173913,0.05263157894172525
4,3.5342917352385173,3.7306412760628795,0.7671458678192586,-0.5488929233173913,3.6324665056506986,0.3196274905648388,0.027027027024050864
5,3.6324665056506986,3.7306412760628795,0.3196274905648388,-0.5488929233173913,3.681553890856789,-0.03009146574222457,0.01333333333188467
6,3.6324665056506986,3.681553890856789,0.3196274905648388,-0.03009146574222457,3.6570101982537437,0.1601058940399565,0.006711409395239067
7,3.6570101982537437,3.681553890856789,0.1601058940399565,-0.03009146574222457,3.6692820445552665,0.06939415273654212,0.003344481604986578
8,3.6692820445552665,3.681553890856789,0.06939415273654212,-0.03009146574222457,3.6754179677060277,0.020828896545285965,0.0016694490816213168
9,3.6754179677060277,3.681553890856789,0.020828896545285965,-0.03009146574222457,3.6784859292814085,-0.004325922886970667,0.0008340283568734442
10,3.6754179677060277,3.6784859292814085,0.020828896545285965,-0.004325922886970667,3.676951948493718,0.008326413582681802,0.00041718815181110316
11,3.676951948493718,3.6784859292814085,0.008326413582681802,-0.004325922886970667,3.6777189388875633,0.0020191510321031884,0.00020855057349139456
12,3.6777189388875633,3.6784859292814085,0.0020191510321031884,-0.004325922886970667,3.6781024340844857,-0.001148637522756918,0.00010426441454397333
13,3.6777189388875633,3.6781024340844857,0.0020191510321031884,-0.001148637522756918,3.6779106864860243,0.00043644109733354344,5.21349251807123e-05
14,3.6779106864860243,3.6781024340844857,0.00043644109733354344,-0.001148637522756918,3.678006560285255,-0.0003558017828955892,2.6066783095462957e-05
15,3.6779106864860243,3.678006560285255,0.00043644109733354344,-0.0003558017828955892,3.67795862338564,4.039372161280209e-05,1.3033561419240717e-05
16,3.67795862338564,3.678006560285255,4.039372161280209e-05,-0.0003558017828955892,3.6779825918354474,-0.00015768550916299794,6.516738241466297e-06
17,3.67795862338564,3.6779825918354474,4.039372161280209e-05,-0.00015768550916299794,3.6779706076105434,-5.864126407815295e-05,3.2583797377370695e-06
18,3.67795862338564,3.6779706076105434,4.039372161280209e-05,-5.864126407815295e-05,3.677964615498092,-9.122613892506792e-06,1.629192523132488e-06
19,3.67795862338564,3.677964615498092,4.039372161280209e-05,-9.122613892506792e-06,3.6779616194418656,1.563584318468224e-05,8.145969251338538e-07
20,3.6779616194418656,3.677964615498092,1.563584318468224e-05,-9.122613892506792e-06,3.6779631174699787,3.2566869785347794e-06,4.072982966749569e-07
21,3.6779631174699787,3.677964615498092,3.2566869785347794e-06,-9.122613892506792e-06,3.6779638664840353,-2.932945373710063e-06,2.0364910686451127e-07
22,3.6779631174699787,3.6779638664840353,3.2566869785347794e-06,-2.932945373710063e-06,3.677963491977007,1.6187532321082133e-07,1.0182456380049636e-07
23,3.677963491977007,3.6779638664840353,1.6187532321082133e-07,-2.932945373710063e-06,3.6779636792305213,-1.3855338950474397e-06,5.091227930818787e-08
24,3.677963491977007,3.6779636792305213,1.6187532321082133e-07,-1.3855338950474397e-06,3.677963585603764,-6.118290033680846e-07,2.5456140302108996e-08
25,3.677963491977007,3.677963585603764,1.6187532321082133e-07,-6.118290033680846e-07,3.6779635387903853,-2.2497676944111557e-07,1.2728070313058271e-08
26,3.677963491977007,3.6779635387903853,1.6187532321082133e-07,-2.2497676944111557e-07,3.6779635153836963,-3.155070545577312e-08,6.364035197030079e-09
27,3.677963491977007,3.6779635153836963,1.6187532321082133e-07,-3.155070545577312e-08,3.6779635036803517,6.516231329236698e-08,3.1820176086402756e-09
28,3.6779635036803517,3.6779635153836963,6.516231329236698e-08,-3.155070545577312e-08,3.677963509532024,1.6805805022007728e-08,1.5910088017888286e-09
29,3.677963509532024,3.6779635153836963,1.6805805022007728e-08,-3.155070545577312e-08,3.6779635124578602,-7.372449940954986e-09,7.955044002615871e-10
30,3.677963509532024,3.6779635124578602,1.6805805022007728e-08,-7.372449940954986e-09,3.677963510994942,4.716677609508297e-09,3.977522002890004e-10
31,3.677963510994942,3.6779635124578602,4.716677609508297e-09,-7.372449940954986e-09,3.677963511726401,-1.3278861484778626e-09,1.9887610010494848e-10
32,3.677963510994942,3.677963511726401,4.716677609508297e-09,-1.3278861484778626e-09,3.6779635113606717,1.6943957348265878e-09,9.943805006236216e-11
