# Função: x/1 - tan(1*x)
"# Intervalo: [pi/2 + 1e-10, 3*pi/2 - 1e-10], Precisão: 1e-10, Iterações Máximas: 100"

k,a,b,f(a),f(b),xk,f(xk),Erro Rel
1,1.5707963268948966,4.71238898028469,10000000001.570797,-9999999995.287611,3.141592653589793,3.141592653589793,0.499999999968169
2,3.141592653589793,4.71238898028469,3.141592653589793,-9999999995.287611,3.9269908169372414,2.9269908170372414,0.19999999998981408
3,3.9269908169372414,4.71238898028469,2.9269908170372414,-9999999995.287611,4.3196898986109655,1.9054763367500027,0.09090909090488185
4,4.3196898986109655,4.71238898028469,1.9054763367500027,-9999999995.287611,4.516039439447828,-0.5113000503790328,0.043478260867639715
5,4.3196898986109655,4.516039439447828,1.9054763367500027,-0.5113000503790328,4.417864669029397,1.121306461055294,0.022222222221216205
6,4.417864669029397,4.516039439447828,1.121306461055294,-0.5113000503790328,4.466952054238612,0.474728271897659,0.010989010988518975
7,4.466952054238612,4.516039439447828,0.474728271897659,-0.5113000503790328,4.49149574684322,0.038293524218974445,0.0054644808740736146
8,4.49149574684322,4.516039439447828,0.038293524218974445,-0.5113000503790328,4.503767593145524,-0.2198617327151308,0.002724795640205975
9,4.49149574684322,4.503767593145524,0.038293524218974445,-0.2198617327151308,4.497631669994372,-0.08698038744778427,0.0013642564801576154
10,4.49149574684322,4.497631669994372,0.038293524218974445,-0.08698038744778427,4.494563708418796,-0.023432690311299114,0.0006825938566249159
11,4.49149574684322,4.494563708418796,0.038293524218974445,-0.023432690311299114,4.493029727631008,0.007653324684872669,0.0003414134516747991
12,4.493029727631008,4.494563708418796,0.007653324684872669,-0.023432690311299114,4.493796718024902,-0.007833369157728783,0.0001706775900248326
13,4.493029727631008,4.493796718024902,0.007653324684872669,-0.007833369157728783,4.493413222827955,-7.601780507206175e-05,8.534607834390121e-05
14,4.493029727631008,4.493413222827955,0.007653324684872669,-7.601780507206175e-05,4.493221475229482,0.0037921453565576174,4.267486023793319e-05
15,4.493221475229482,4.493413222827955,0.0037921453565576174,-7.601780507206175e-05,4.493317349028718,0.001858937901290955,2.133697484275694e-05
16,4.493317349028718,4.493413222827955,0.001858937901290955,-7.601780507206175e-05,4.493365285928337,0.0008916787230140017,1.0668373605968848e-05
17,4.493365285928337,4.493413222827955,0.0008916787230140017,-7.601780507206175e-05,4.493389254378146,0.0004078851456505407,5.3341583495873505e-06
18,4.493389254378146,4.493413222827955,0.0004078851456505407,-7.601780507206175e-05,4.493401238603051,0.0001659473442041708,2.6670720615013224e-06
19,4.493401238603051,4.493413222827955,0.0001659473442041708,-7.601780507206175e-05,4.493407230715503,4.4968188325470934e-05,1.3335342524346873e-06
20,4.493407230715503,4.493413222827955,4.4968188325470934e-05,-7.601780507206175e-05,4.493410226771729,-1.5523953648352497e-05,6.667666816392395e-07
21,4.493407230715503,4.493410226771729,4.4968188325470934e-05,-1.5523953648352497e-05,4.493408728743616,1.4722331015408698e-05,3.3338345196410874e-07
22,4.493408728743616,4.493410226771729,1.4722331015408698e-05,-1.5523953648352497e-05,4.493409477757672,-4.007578967112581e-07,1.666916981959275e-07
23,4.493408728743616,4.493409477757672,1.4722331015408698e-05,-4.007578967112581e-07,4.493409103250644,7.160799914220345e-06,8.334585604449488e-08
24,4.493409103250644,4.493409477757672,7.160799914220345e-06,-4.007578967112581e-07,4.493409290504158,3.3800243474810166e-06,4.167292628561458e-08
25,4.493409290504158,4.493409477757672,3.3800243474810166e-06,-4.007578967112581e-07,4.493409384130915,1.4896340600675684e-06,2.0836462708649105e-08
26,4.493409384130915,4.493409477757672,1.4896340600675684e-06,-4.007578967112581e-07,4.493409430944293,5.444382903489613e-07,1.0418231245785008e-08
27,4.493409430944293,4.493409477757672,5.444382903489613e-07,-4.007578967112581e-07,4.493409454350983,7.184024898656987e-08,5.209115595757619e-09
28,4.493409454350983,4.493409477757672,7.184024898656987e-08,-4.007578967112581e-07,4.493409466054327,-1.6445881082041248e-07,2.604557791095088e-09
29,4.493409454350983,4.493409466054327,7.184024898656987e-08,-1.6445881082041248e-07,4.493409460202655,-4.630927765643864e-08,1.3022788972434744e-09
30,4.493409454350983,4.493409460202655,7.184024898656987e-08,-4.630927765643864e-08,4.493409457276819,1.2765486480186247e-08,6.511394490457198e-10
31,4.493409457276819,4.493409460202655,1.2765486480186247e-08,-4.630927765643864e-08,4.4934094587397375,-1.6771895384346036e-08,3.2556972441686425e-10
32,4.493409457276819,4.4934094587397375,1.2765486480186247e-08,-1.6771895384346036e-08,4.493409458008278,-2.0032044011348546e-09,1.6278486223493104e-10
33,4.493409457276819,4.493409458008278,1.2765486480186247e-08,-2.0032044011348546e-09,4.4934094576425485,5.381141052261956e-09,8.139243112409024e-11
