# Função: x/2 - tan(2*x)
"# Intervalo: [5*pi/4 + 1e-2, 7*pi/4 - 1e-2], Precisão: 1e-10, Iterações Máximas: 200"

k,a,b,f(a),f(b),xk,f(xk),Erro Rel
1,3.9369908169872416,5.487787143782138,51.961828564042406,-47.24943958365772,4.749219250058945,2.3008155716068175,0.15551353913888605
2,4.749219250058945,5.487787143782138,2.3008155716068175,-47.24943958365772,4.7835138970843225,2.2485398091650017,0.007169341986500896
3,4.7835138970843225,5.487787143782138,2.2485398091650017,-47.24943958365772,4.815506848133139,2.1985431173220276,0.006643734929215137
4,4.815506848133139,5.487787143782138,2.1985431173220276,-47.24943958365772,4.845397596676882,2.1502237917220337,0.0061688949043609415
5,4.845397596676882,5.487787143782138,2.1502237917220337,-47.24943958365772,4.8733589468837275,2.1031357061538594,0.005737593005482485
6,4.8733589468837275,5.487787143782138,2.1031357061538594,-47.24943958365772,4.89954250209187,2.0569447815890873,0.005344081655983787
7,4.89954250209187,5.487787143782138,2.0569447815890873,-47.24943958365772,4.924082665837386,2.011399711497641,0.004983702632730611
8,4.924082665837386,5.487787143782138,2.011399711497641,-47.24943958365772,4.9470996310481175,1.9663117244323054,0.004652618084801801
9,4.9470996310481175,5.487787143782138,1.9663117244323054,-47.24943958365772,4.968701662253283,1.9215402451624919,0.004347620902513437
10,4.968701662253283,5.487787143782138,1.9215402451624919,-47.24943958365772,4.988986872084563,1.8769825034065746,0.004065997837112786
11,4.988986872084563,5.487787143782138,1.8769825034065746,-47.24943958365772,5.0080446284383955,1.8325658421583844,0.0038054286189088955
12,5.0080446284383955,5.487787143782138,1.8325658421583844,-47.24943958365772,5.025956686819524,1.7882419069784994,0.0035639102159599374
13,5.025956686819524,5.487787143782138,1.7882419069784994,-47.24943958365772,5.042798114716502,1.7439821673767169,0.0033396990150825244
14,5.042798114716502,5.487787143782138,1.7439821673767169,-47.24943958365772,5.058638056154199,1.6997743952278002,0.00313126601703121
15,5.058638056154199,5.487787143782138,1.6997743952278002,-47.24943958365772,5.073540371668397,1.6556198397558228,0.0029372616402967055
16,5.073540371668397,5.487787143782138,1.6556198397558228,-47.24943958365772,5.087564179890946,1.6115309157641744,0.002756487727069734
17,5.087564179890946,5.487787143782138,1.6115309157641744,-47.24943958365772,5.100764320471802,1.5675292747141987,0.0025878750225486117
18,5.100764320471802,5.487787143782138,1.5675292747141987,-47.24943958365772,5.113191753385172,1.5236441651957258,0.0024304648667131125
19,5.113191753385172,5.487787143782138,1.5236441651957258,-47.24943958365772,5.124893906232971,1.4799110155107131,0.0022833941661828073
