# Função: x/1 - tan(1*x)
"# Intervalo: [7*pi/2 + 1e-2, 9*pi/2 - 1e-2], Precisão: 1e-10, Iterações Máximas: 200"

k,a,b,f(a),f(b),xk,f(xk),Erro Rel
1,11.005574287564276,14.12716694115407,111.00224093200852,-85.86949970329017,12.765622625163191,12.563691196831662,0.10665710212262153
2,12.765622625163191,14.12716694115407,12.563691196831662,-85.86949970329017,12.939405697524096,12.548046735391742,0.013430529687631497
3,12.939405697524096,14.12716694115407,12.548046735391742,-85.86949970329017,13.090842957798024,12.512327343444003,0.011568182489250465
4,13.090842957798024,14.12716694115407,12.512327343444003,-85.86949970329017,13.222643975352344,12.452493207527143,0.009967826238080972
5,13.222643975352344,14.12716694115407,12.452493207527143,-85.86949970329017,13.33720192677543,12.365919337733168,0.00858935420278087
6,13.33720192677543,14.12716694115407,12.365919337733168,-85.86949970329017,13.436643082957174,12.250662725315724,0.00740074403761405
7,13.436643082957174,14.12716694115407,12.250662725315724,-85.86949970329017,13.522857523304326,12.105127266589985,0.0063754602308407765
8,13.522857523304326,14.12716694115407,12.105127266589985,-85.86949970329017,13.597522185347069,11.927924921569598,0.005491049106226402
9,13.597522185347069,14.12716694115407,11.927924921569598,-85.86949970329017,13.662120643911825,11.71784610431095,0.004728289278688408
10,13.662120643911825,14.12716694115407,11.71784610431095,-85.86949970329017,13.71796129514962,11.47389742114262,0.004070623180540545
11,13.71796129514962,14.12716694115407,11.47389742114262,-85.86949970329017,13.766194495809401,11.195383578881664,0.0035037424957539555
12,13.766194495809401,14.12716694115407,11.195383578881664,-85.86949970329017,13.807828759926245,10.882017698048303,0.0030152650963978385
13,13.807828759926245,14.12716694115407,10.882017698048303,-85.86949970329017,13.843745961362671,10.534046388049743,0.0025944712895390244
14,13.843745961362671,14.12716694115407,10.534046388049743,-85.86949970329017,13.87471546268828,10.15237556567533,0.002232081905311284
15,13.87471546268828,14.12716694115407,10.15237556567533,-85.86949970329017,13.901407112005852,9.738681772963014,0.001920068170258751
16,13.901407112005852,14.12716694115407,9.738681772963014,-85.86949970329017,13.924403084727487,9.295492918313187,0.0016514871468248427
17,13.924403084727487,14.12716694115407,9.295492918313187,-85.86949970329017,13.944208581891738,8.826222962997267,0.0014203385619152846
18,13.944208581891738,14.12716694115407,8.826222962997267,-85.86949970329017,13.961261424684693,8.33514787250658,0.0012214399740988783
19,13.961261424684693,14.12716694115407,8.33514787250658,-85.86949970329017,13.975940605045984,7.82731546332024,0.0010503178838632689
