# Função: x/1 - tan(1*x)
"# Intervalo: [3*pi/2 + 1e-2, 5*pi/2 - 1e-2], Precisão: 1e-10, Iterações Máximas: 200"

k,a,b,f(a),f(b),xk,f(xk),Erro Rel
1,4.7223889803846895,7.843981633974483,104.71905562482893,-92.15268501046975,6.3828113125815955,6.282854385957971,0.2289226877994458
2,6.3828113125815955,7.843981633974483,6.282854385957971,-92.15268501046975,6.47607356744082,6.280756968830028,0.01440104932224845
3,6.47607356744082,7.843981633974483,6.280756968830028,-92.15268501046975,6.5633558766727464,6.275616868414208,0.013298427035191254
4,6.5633558766727464,7.843981633974483,6.275616868414208,-92.15268501046975,6.645006341541456,6.266523024676793,0.012287492392335155
5,6.645006341541456,7.843981633974483,6.266523024676793,-92.15268501046975,6.721347194369362,6.252810229821776,0.011357968963701002
6,6.721347194369362,7.843981633974483,6.252810229821776,-92.15268501046975,6.792680813403261,6.2339842518444595,0.010501541437534304
7,6.792680813403261,7.843981633974483,6.2339842518444595,-92.15268501046975,6.85929342269811,6.209673313716971,0.009711293159499776
8,6.85929342269811,7.843981633974483,6.209673313716971,-92.15268501046975,6.921457366426889,6.179595912872986,0.008981337374164781
9,6.921457366426889,7.843981633974483,6.179595912872986,-92.15268501046975,6.97943250073408,6.143539169803143,0.008306568521307928
10,6.97943250073408,7.843981633974483,6.143539169803143,-92.15268501046975,7.033467042839592,6.101344198584056,0.007682490267800729
11,7.033467042839592,7.843981633974483,6.101344198584056,-92.15268501046975,7.083798093263659,6.052896304364275,0.007105093872160034
12,7.083798093263659,7.843981633974483,6.052896304364275,-92.15268501046975,7.130651969414098,5.998118584899119,0.006570770295817596
13,7.130651969414098,7.843981633974483,5.998118584899119,-92.15268501046975,7.174244438975512,5.936967980049087,0.006076245370814126
14,7.174244438975512,7.843981633974483,5.936967980049087,-92.15268501046975,7.214780909036643,5.869433101798407,0.005618530981357677
15,7.214780909036643,7.843981633974483,5.869433101798407,-92.15268501046975,7.252456605438101,5.795533359043632,0.005194887532757945
16,7.252456605438101,7.843981633974483,5.795533359043632,-92.15268501046975,7.287456762589084,5.715319007431502,0.00480279448526683
17,7.287456762589084,7.843981633974483,5.715319007431502,-92.15268501046975,7.3199568345733415,5.628871829610579,0.0044399267261733735
